                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                  0.284,                0.27389,                0.38067,                0.90222,                0.94761,                0.98661,                0.94849,                0.92246,                0.94761,                0.98661,                0.94849,                0.94849,                0.22594,                0.15156,                0.30556,                0.81203,             0.00096537,             0.00096537,             0.00096537
                     25,                0.26534,                0.25699,                0.36836,                0.88433,                0.95412,                0.98889,                0.95582,                 0.9451,                0.95412,                0.98889,                0.95582,                0.95161,                0.21275,                0.13502,                0.26072,                0.80569,               0.000953,               0.000953,               0.000953
                     26,                 0.2664,                0.22864,                0.40688,                0.88037,                0.94658,                0.98889,                0.95107,                0.93172,                0.94658,                0.98889,                0.95107,                0.94579,                0.21792,                0.13071,                0.28186,                0.81347,             0.00094062,             0.00094062,             0.00094062
                     27,                0.26111,                0.24403,                0.37373,                0.89413,                0.94949,                0.98511,                0.96149,                0.94896,                0.94949,                0.98511,                0.96149,                0.95843,                0.18063,                0.13392,                0.27657,                0.78372,             0.00092825,             0.00092825,             0.00092825
                     28,                0.24879,                0.24711,                0.33979,                0.87681,                0.93232,                0.98889,                0.96723,                0.95461,                0.93232,                0.98889,                0.96723,                 0.9621,                0.22916,                0.15118,                0.28068,                0.81923,             0.00091588,             0.00091588,             0.00091588
                     29,                0.24096,                0.20502,                0.37932,                 0.8767,                0.94704,                0.98889,                 0.9602,                0.94591,                0.94704,                0.98889,                 0.9602,                0.93012,                0.25625,                0.25536,                0.32458,                0.85669,              0.0009035,              0.0009035,              0.0009035
                     30,                0.25256,                0.27913,                0.34755,                0.88783,                0.93945,                0.98889,                0.95959,                0.95774,                0.93945,                0.98889,                0.95959,                0.95553,                0.18776,                0.13582,                0.29901,                0.78983,             0.00089112,             0.00089112,             0.00089112
                     31,                0.23915,                0.22803,                0.33437,                0.87904,                 0.9415,                0.98562,                0.95528,                0.95207,                 0.9415,                0.98562,                0.95528,                0.95166,                0.20484,                0.13596,                 0.2694,                0.79979,             0.00087875,             0.00087875,             0.00087875
                     32,                0.25002,                0.23356,                0.35375,                0.88848,                0.94905,                0.98889,                0.95205,                0.94642,                0.94905,                0.98889,                0.95205,                0.94873,                0.19949,                0.15559,                0.24138,                0.78699,             0.00086637,             0.00086637,             0.00086637
                     33,                0.24785,                0.23537,                0.35068,                0.88208,                0.95097,                0.98889,                 0.9562,                0.95099,                0.95097,                0.98889,                 0.9562,                0.95198,                0.17953,                  0.137,                0.23178,                0.77875,               0.000854,               0.000854,               0.000854
                     34,                 0.2506,                0.24896,                0.35994,                0.88363,                0.94015,                0.98526,                 0.9562,                 0.9509,                0.94015,                0.98526,                 0.9562,                0.95291,                0.16138,                0.12888,                0.22971,                0.77562,             0.00084162,             0.00084162,             0.00084162
                     35,                0.24738,                0.25999,                0.36953,                 0.8844,                0.93871,                0.98889,                0.96366,                0.96085,                0.93871,                0.98889,                0.96366,                0.96044,                0.16802,                0.14265,                0.24392,                0.78007,             0.00082925,             0.00082925,             0.00082925
                     36,                0.23676,                0.23665,                0.32946,                 0.8785,                0.95132,                0.98889,                0.95404,                0.95021,                0.95132,                0.98889,                0.95404,                0.94981,                0.16643,                0.13386,                 0.2509,                0.78273,             0.00081688,             0.00081688,             0.00081688
                     37,                0.23792,                0.24517,                0.32072,                0.88161,                0.95241,                0.98889,                0.95617,                0.94957,                0.95241,                0.98889,                0.95617,                0.95197,                0.15843,                0.14132,                0.23068,                0.77892,              0.0008045,              0.0008045,              0.0008045
                     38,                0.23598,                0.24376,                0.31662,                 0.8831,                 0.9523,                0.98889,                0.95976,                0.95583,                 0.9523,                0.98889,                0.95976,                0.95567,                0.17713,                0.13084,                0.23496,                0.77995,             0.00079213,             0.00079213,             0.00079213
                     39,                0.22738,                0.23036,                0.30909,                0.87311,                 0.9478,                0.98889,                0.95559,                0.94626,                 0.9478,                0.98889,                0.95559,                0.95559,                0.19177,                0.13552,                0.23674,                 0.7901,             0.00077975,             0.00077975,             0.00077975
                     40,                0.22592,                0.21725,                0.31399,                0.87467,                0.94702,                0.98889,                0.96128,                0.96128,                0.94702,                0.98889,                0.96128,                  0.958,                0.17017,                0.16284,                 0.2445,                0.77772,             0.00076738,             0.00076738,             0.00076738
                     41,                0.22984,                0.22456,                0.31682,                0.87618,                0.95071,                0.98889,                0.95362,                0.95232,                0.95071,                0.98889,                0.95362,                   0.95,                0.16732,                0.12975,                0.23931,                0.77554,               0.000755,               0.000755,               0.000755
                     42,                0.22498,                0.19362,                0.31525,                0.87657,                0.94276,                0.98889,                   0.96,                 0.9557,                0.94276,                0.98889,                   0.96,                0.95536,                0.16146,                0.12669,                0.24365,                0.77288,             0.00074263,             0.00074263,             0.00074263
                     43,                0.22252,                0.22161,                0.32121,                0.87471,                0.93001,                0.97724,                0.95436,                0.94867,                0.93001,                0.97724,                0.95436,                0.95073,                0.17272,                0.12644,                0.25588,                0.77816,             0.00073025,             0.00073025,             0.00073025
                     44,                0.21792,                0.20409,                0.31787,                0.86905,                0.95463,                0.98889,                0.95478,                 0.9534,                0.95463,                0.98889,                0.95478,                 0.9511,                0.15801,                0.12823,                 0.2183,                0.77241,             0.00071788,             0.00071788,             0.00071788
                     45,                0.21796,                0.22758,                0.30253,                0.87512,                0.95332,                0.98889,                0.95488,                0.95048,                0.95332,                0.98889,                0.95488,                0.94212,                0.17663,                0.14909,                0.22784,                0.78225,              0.0007055,              0.0007055,              0.0007055
                     46,                0.22114,                0.22821,                0.33541,                0.87289,                0.95336,                0.98889,                 0.9554,                0.94596,                0.95336,                0.98889,                 0.9554,                0.95065,                0.19482,                0.12939,                 0.2749,                0.79548,             0.00069313,             0.00069313,             0.00069313
                     47,                 0.2319,                0.26266,                0.32085,                0.88197,                0.94972,                0.98809,                0.96973,                0.96836,                0.94972,                0.98809,                0.96973,                0.96538,                0.18695,                 0.1397,                0.24793,                0.79021,             0.00068075,             0.00068075,             0.00068075
                     48,                0.22475,                0.21277,                0.32053,                0.88489,                0.93205,                 0.9681,                0.96745,                0.96181,                0.93205,                 0.9681,                0.96745,                0.96322,                 0.1705,                0.12767,                0.26064,                0.77964,             0.00066838,             0.00066838,             0.00066838
                     49,                0.21765,                0.23173,                0.33045,                 0.8767,                0.95132,                0.98889,                0.95113,                0.94627,                0.95132,                0.98889,                0.95113,                 0.9473,                0.18825,                0.13693,                0.23611,                0.78838,               0.000656,               0.000656,               0.000656
                     50,                0.21169,                0.21053,                0.29617,                0.87065,                0.95492,                0.98889,                0.95519,                0.94928,                0.95492,                0.98889,                0.95519,                0.95158,                0.16222,                0.13179,                0.23542,                0.78033,             0.00064362,             0.00064362,             0.00064362
